master_metadata_album_artist_name,master_metadata_track_name,danceability,energy,valence,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,key
Ski Mask The Slump God,Faucet Failure,0.935,0.552,0.615,-9.373,0.0,0.335,0.111,0.0,0.0952,199.986,10.0
Ski Mask The Slump God,Like A Soccer Mom,0.78,0.654,0.713,-7.641,0.0,0.076,0.1119999999999999,0.0,0.12,140.007,10.0
Don Toliver,Mamma Mia,,,,,,,,,,,
Migos,Antisocial (feat. Juice WRLD),,,,,,,,,,,
Migos,Having Our Way (feat. Drake),,,,,,,,,,,
Migos,Modern Day,,,,,,,,,,,
Migos,Jane,,,,,,,,,,,
Migos,Avalanche,,,,,,,,,,,
Young Stoner Life,Came Out (feat. Lil Keed),,,,,,,,,,,
Migos,Malibu (feat. Polo G),,,,,,,,,,,
Migos,Roadrunner,,,,,,,,,,,
Migos,Type Shit (feat. Cardi B),,,,,,,,,,,
Migos,Birthday,,,,,,,,,,,
Playboi Carti,New N3on,,,,,,,,,,,
Migos,Picasso (feat. Future),,,,,,,,,,,
Lil Uzi Vert,How to Talk,,,,,,,,,,,
Cochise,Dig Me Freestyle,,,,,,,,,,,
Migos,What You See (feat. Justin Bieber),,,,,,,,,,,
Don Toliver,After Party,0.629,0.6920000000000001,0.4529999999999999,-8.045,1.0,0.0376,0.00981,0.331,0.603,162.94799999999998,5.0
Juice WRLD,Life's A Mess (feat. Halsey),0.63,0.446,0.177,-8.9,1.0,0.0351,0.337,0.0,0.166,143.078,1.0
Young Nudy,Dispatch (feat. DaBaby),0.602,0.395,0.335,-8.752,0.0,0.289,0.127,0.0,0.109,81.468,1.0
Young Thug,Hot (feat. Gunna),0.855,0.6509999999999999,0.5589999999999999,-8.044,0.0,0.235,0.063,0.0,0.0772,111.997,0.0
Drake,What’s Next,,,,,,,,,,,
Young Stoner Life,Diamonds Dancing (feat. Travis Scott),,,,,,,,,,,
iann dior,Paradise,0.551,0.747,0.205,-7.911,1.0,0.254,0.115,0.0,0.0895,177.87400000000002,7.0
Lil Tecca,Love Me,0.439,0.539,0.461,-10.588,1.0,0.376,0.515,0.000306,0.301,165.06799999999998,9.0
Lil Jojo,Tied Up,,,,,,,,,,,
Karimmokka,Light,0.2689999999999999,0.652,0.0404,-10.692,0.0,0.053,0.00831,0.000235,0.0621,174.796,1.0
Playboi Carti,Not PLaying,,,,,,,,,,,
Lil Uzi Vert,Lo Mein,0.855,0.6759999999999999,0.509,-5.736000000000001,1.0,0.325,0.0888,0.0,0.144,133.082,1.0
The Kid LAROI,Diva (feat. Lil Tecca),0.6859999999999999,0.703,0.457,-6.141,0.0,0.0606,0.00728,0.0,0.0946,144.90200000000002,6.0
Dreamville,Under The Sun (with J. Cole & Lute feat. DaBaby),0.723,0.6559999999999999,0.155,-6.432,1.0,0.3379999999999999,0.539,0.0,0.298,138.836,0.0
Trippie Redd,FEMALE SHARK,,,,,,,,,,,
24kGoldn,Mood (feat. iann dior),0.7,0.722,0.7559999999999999,-3.5580000000000003,0.0,0.0369,0.221,0.0,0.272,181.978,7.0
Masego,Mystery Lady (feat. Don Toliver),,,,,,,,,,,
Playboi Carti,Location,0.366,0.594,0.0883,-10.475,0.0,0.165,0.337,0.0051,0.0731,192.506,6.0
Young Nudy,2Face (feat. G Herbo),,,,,,,,,,,
24kGoldn,Don't Sleep,,,,,,,,,,,
Future,Fine China,0.6559999999999999,0.542,0.551,-7.358,1.0,0.3229999999999999,0.0484,0.0,0.106,166.11,7.0
iann dior,don't want to fall,,,,,,,,,,,
24kGoldn,Love Or Lust,,,,,,,,,,,
The Kid LAROI,SELFISH,0.638,0.6,0.0399,-5.84,0.0,0.0438,0.114,0.0,0.187,203.962,1.0
Post Malone,I Know,0.807,0.665,0.557,-5.249,0.0,0.276,0.0919,0.0,0.0788,164.96400000000003,5.0
Cordae,Thornton Street,,,,,,,,,,,
Don Toliver,Drugs N Hella Melodies (feat. Kali Uchis),,,,,,,,,,,
Travis Scott,Watch (feat. Lil Uzi Vert & Kanye West),0.706,0.5589999999999999,0.252,-5.216,0.0,0.0416,0.0372,0.0,0.379,78.53399999999999,4.0
Big Sean,The Baddest,0.639,0.726,0.2319999999999999,-3.764,1.0,0.324,0.0637,0.0,0.713,81.846,9.0
Lil Uzi Vert,Prices,,,,,,,,,,,
Lil Uzi Vert,Feelings Mutual,,,,,,,,,,,
Lil Keed,Million Dollar Mansion (feat. Young Thug),,,,,,,,,,,
Playboi Carti,Control,0.56,0.813,0.062,-4.199,1.0,0.0524,0.000637,0.106,0.103,134.026,9.0
Lil Yachty,COUNT ME IN,,,,,,,,,,,
JACKBOYS,OUT WEST (feat. Young Thug),0.802,0.591,0.309,-4.895,1.0,0.225,0.0104,0.0,0.196,139.864,8.0
Future,Tic Tac,0.942,0.5660000000000001,0.479,-4.834,1.0,0.226,0.0773,0.0,0.11,132.858,11.0
TWENTY88,Time In,,,,,,,,,,,
24kGoldn,Yellow Lights,,,,,,,,,,,
DaBaby,CAN'T STOP,0.625,0.926,0.376,-0.901,1.0,0.373,0.0325,4.39e-05,0.0387,149.636,2.0
DJ Scheme,Hey Mister (feat. Ski Mask The Slump God),0.728,0.506,0.366,-8.342,0.0,0.48,0.562,0.0,0.222,160.998,10.0
Juice WRLD,Armed And Dangerous,0.736,0.67,0.845,-6.702000000000001,1.0,0.311,0.186,0.0,0.114,130.032,10.0
Lil Yachty,Up Next 3,,,,,,,,,,,
Quality Control,100 Racks (Offset feat. Playboi Carti),0.939,0.632,0.364,-2.978,1.0,0.1369999999999999,0.0606,0.0013599999999999,0.1009999999999999,133.97899999999998,1.0
Kid Cudi,The Pale Moonlight,,,,,,,,,,,
Lil Yachty,"This That One (feat. Krispy Life Kidd, Veeze, Slap Savage, YN Jay, Louie Ray",,,,,,,,,,,
Stunna 4 Vegas,UP THE SMOKE (with Offset),0.899,0.735,0.884,-7.718999999999999,1.0,0.4,0.0506,0.0,0.15,143.001,4.0
Lil Uzi Vert,Lullaby,0.627,0.7929999999999999,0.245,-7.416,0.0,0.0495,0.000158,0.8959999999999999,0.768,134.005,8.0
Future,Solitaires (feat. Travis Scott),0.691,0.632,0.488,-7.598,1.0,0.0513,0.122,0.0,0.0646,169.982,1.0
Metro Boomin,Space Cadet (feat. Gunna),0.901,0.4639999999999999,0.638,-9.789,0.0,0.0645,0.368,1.7100000000000002e-05,0.238,109.004,5.0
Trippie Redd,How I Was Raised,0.633,0.687,0.486,-5.059,0.0,0.0726,0.0833,0.0,0.103,160.035,7.0
Trippie Redd,Til The End of Time,,,,,,,,,,,
Kid Cudi,Rockstar Knights (with Trippie Redd),,,,,,,,,,,
Quality Control,"Killin' Time (Lil Yachty feat. Offset, Mango Foo)",,,,,,,,,,,
Gunna,Cash War,,,,,,,,,,,
Lil Uzi Vert,Early 20 Rager,,,,,,,,,,,
Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),0.835,0.6990000000000001,0.547,-5.405,0.0,0.2769999999999999,0.00671,0.0,0.195,154.981,8.0
Playboi Carti,Pull Up,0.763,0.2289999999999999,0.282,-13.049,1.0,0.515,0.114,0.18,0.0978,160.017,1.0
Cordae,Lost & Found,0.821,0.795,0.532,-5.523,1.0,0.25,0.19,1.55e-05,0.353,117.99,11.0
Gucci Mane,Shit Crazy (feat. BIG30),,,,,,,,,,,
iann dior,don't wanna believe,,,,,,,,,,,
Gunna,STREET SWEEPER (feat. Future),,,,,,,,,,,
Lil Tecca,Senorita,,,,,,,,,,,
Don Toliver,Heaven or Hell,,,,,,,,,,,
Lil Yachty,DAS CAP,,,,,,,,,,,
Lil Skies,Flooded,,,,,,,,,,,
Lil Baby,Life Goes On,0.716,0.541,0.387,-7.909,1.0,0.149,0.0021,0.0,0.115,139.97799999999998,1.0
Lil Yachty,We Outta Here! (feat. Young Nudy),,,,,,,,,,,
DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),0.816,0.5820000000000001,0.542,-4.141,1.0,0.341,0.0794,5.84e-06,0.0916,160.004,8.0
Travis Scott,HIGHEST IN THE ROOM,0.598,0.427,0.0605,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,152.938,7.0
Lil Uzi Vert,New Patek,0.85,0.785,0.718,-4.963,0.0,0.345,0.0367,0.0,0.155,145.063,8.0
Young Stoner Life,Real (feat. Unfoonk),,,,,,,,,,,
Gunna,200 FOR LUNCH,,,,,,,,,,,
Lil Tecca,Phenom,,,,,,,,,,,
J. Cole,a p p l y i n g . p r e s s u r e,,,,,,,,,,,
Kid Cudi,Lovin’ Me (feat. Phoebe Bridgers),,,,,,,,,,,
NAV,Status (feat. Lil Uzi Vert),0.951,0.72,0.687,-4.467,1.0,0.302,0.0406,0.0,0.0998,134.033,6.0
Lil Uzi Vert,Money Spread (feat. Young Nudy),,,,,,,,,,,
Gunna,Helluva Price,0.865,0.382,0.242,-10.158,1.0,0.252,0.573,0.0,0.127,135.045,1.0
Playboi Carti,dothatshit!,,,,,,,,,,,
Lil Uzi Vert,Bean (Kobe) [feat. Chief Keef],,,,,,,,,,,
Ski Mask The Slump God,DoIHaveTheSause?,,,,,,,,,,,
Trippie Redd,The Nether,,,,,,,,,,,
